0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:45:22 -0500] "GET /StudentmanagementSystem/admin-home.jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [08/Feb/2021:12:45:32 -0500] "GET /StudentmanagementSystem/admin-home.jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:04:07 -0500] "GET /StudentmanagementSystem/admin-home.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:04:37 -0500] "GET /StudentmanagementSystem/admin_home.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:04:49 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:07:15 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:09:44 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:09:46 -0500] "POST /StudentmanagementSystem/AddStudentController HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:15:41 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2530
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:15:44 -0500] "POST /StudentmanagementSystem/AddStudentController HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:19:14 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:19:30 -0500] "POST /StudentmanagementSystem/AddStudentController HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:19:39 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:19:45 -0500] "POST /StudentmanagementSystem/AddStudentController HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:23:30 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:44:28 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:44:30 -0500] "POST /StudentmanagementSystem/AddStudentController HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:44:37 -0500] "GET /StudentmanagementSystem/add_student.jsp HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [08/Feb/2021:13:44:39 -0500] "POST /StudentmanagementSystem/AddStudentController HTTP/1.1" 404 799
